""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAL061W"	3023.06706017884	3.60512533817573	0.154540308737846	23.328058340373	2.3020056959836e-120	9.68785643874655e-119
"YAL062W"	831.380248467812	1.27899894561002	0.16870410845043	7.58131474898745	3.42070610390625e-14	1.71902875343634e-13
"YAR008W"	224.510511692424	-1.09967730699723	0.153291400751042	-7.17377035899879	7.29599555015124e-13	3.3751140014654e-12
"YAR020C"	45.8268538863051	1.21661504488024	0.293971316636031	4.13855017830378	3.49507438011683e-05	8.60622228629832e-05
"YAR023C"	158.242121322759	1.19449363774729	0.186838612553539	6.39318405024555	1.62466505396665e-10	6.41257869351878e-10
"YAR027W"	1816.92459849715	1.476401175361	0.140946838442525	10.4748796899268	1.1268078947357e-25	9.19753396194213e-25
"YAR064W"	24.7724556118067	-1.00089001734071	0.379547655414513	-2.63706020327702	0.00836279881729739	0.0148361002877176
"YAR073W"	19.8757428401785	-1.16946232385644	0.480164555363653	-2.43554487892332	0.0148693799453568	0.025101356969438
"YBL004W"	918.664199518626	-3.40007826524471	0.189635457947396	-17.9295491573515	6.93396509332369e-72	1.49299095580833e-70
"YBL009W"	512.783204815259	-1.41840330341206	0.122202895615362	-11.6069533071993	3.79912156303108e-31	3.66946450819738e-30
"YBL015W"	1358.77117082342	1.20645164433513	0.118823954423357	10.1532696011502	3.20444092551141e-24	2.50216646243848e-23
"YBL024W"	1381.86808450193	-1.37773026755427	0.0994845199547677	-13.8486899085474	1.29553412349361e-43	1.70311494003288e-42
"YBL027W"	15132.958901514	-1.68616414969536	0.184266659406254	-9.15067411070748	5.65793692785875e-20	3.69648076909804e-19
"YBL028C"	178.274028332498	-2.52760096117662	0.198575946946806	-12.7286360711839	4.09937703978788e-37	4.62053262519395e-36
"YBL029C-A"	344.883430921618	1.51692046810671	0.187679627829416	8.08249934023447	6.34526819863395e-16	3.46742691360427e-15
"YBL039C"	3912.3555661783	-4.05138097159749	0.129017102783793	-31.4018907895242	1.90662848021078e-216	1.87225139094637e-214
"YBL039W-B"	78.8289860508458	1.49431207825583	0.246037895284723	6.07350374431778	1.2514907991874e-09	4.64542489664007e-09
"YBL042C"	2055.65826161728	-1.64005068683486	0.136809521157603	-11.987840268409	4.1149442792041e-33	4.16702404273778e-32
"YBL043W"	29.673165152326	1.34070657786575	0.376827576280662	3.55787809135069	0.000373862743132133	0.000807937458565974
"YBL044W"	26.2896079196514	2.25770724103678	0.528436556284318	4.27242819253795	1.93355828781175e-05	4.89890197940108e-05
"YBL048W"	40.0714233775494	1.80164670999999	0.419827361610002	4.29139897669087	1.77550975061582e-05	4.52500145251322e-05
"YBL049W"	168.759514061288	1.40110371268768	0.219791159408915	6.37470458982826	1.83315951842958e-10	7.19171116158721e-10
"YBL052C"	191.328644444905	-1.51963901484236	0.209971656266754	-7.23735308784617	4.57525913456021e-13	2.14715817893445e-12
"YBL053W"	15.9974234751036	-1.09423867730119	0.503034136600529	-2.17527717839585	0.0296093516516675	0.0469648086281099
"YBL054W"	657.61197573742	-4.45562764019912	0.175669243788542	-25.3637321144416	6.34057677114009e-142	3.45321664317302e-140
"YBL061C"	438.306522956174	-1.24022987802599	0.117921625505839	-10.5174082591372	7.18220517100364e-26	5.92212108311382e-25
"YBL064C"	2730.68880946842	2.71230204866297	0.08154585585661	33.261065448038	1.41237741414593e-242	1.76031115789996e-240
"YBL065W"	5.377805450144	2.6059346025261	0.94427777381973	2.75971189280962	0.00578523563384825	0.0105054951367247
"YBL068W"	548.601498376398	-1.17320240169702	0.134983401266645	-8.69145680645198	3.57821180938135e-18	2.19814130204745e-17
"YBL071C"	322.177994737224	-1.16315853805826	0.165591473907732	-7.02426586713259	2.15194699943686e-12	9.62509903612856e-12
"YBL075C"	966.462590882425	1.23089245494365	0.137944102676287	8.92312488220086	4.53313129578059e-19	2.88314268184043e-18
"YBL076C"	8322.95494759686	-1.65236548244377	0.0804209624001506	-20.546452481159	8.2797219692141e-94	2.43913082193075e-92
"YBL077W"	333.530571275273	-1.65386053611839	0.164269586236243	-10.0679655559606	7.65450072786543e-24	5.87086617956164e-23
"YBL078C"	147.970857446629	2.37293396804645	0.236732311341343	10.0237012624142	1.19925842353933e-23	9.13324775905801e-23
"YBL081W"	1083.83369212974	-1.24368190624676	0.108846362247765	-11.4260309721311	3.0995506222063e-30	2.92830722777246e-29
"YBL087C"	13105.2677630467	-1.24752698643432	0.183487041273925	-6.79899233086388	1.05353425132529e-11	4.51285887828104e-11
"YBL092W"	21832.5305110874	-1.21318709708997	0.206025593884417	-5.88852614967139	3.8965490032588e-09	1.38908328328495e-08
"YBL094C"	18.4975724356585	1.19202166011233	0.484052252075268	2.46258881143884	0.0137938006338129	0.0234516321898587
"YBL097W"	72.0585741435601	-1.20280380437248	0.338091125075419	-3.55763199671145	0.00037421307106027	0.000808424971180537
"YBL098W"	468.569049765012	1.14908224891376	0.193725273642395	5.93150406918455	3.00172122585278e-09	1.0789880901138e-08
"YBL100C"	124.194158495351	1.04265584963841	0.432067732204966	2.41317685150298	0.0158141441645937	0.0265109850829622
"YBL108C-A"	21.8700389172476	-2.19749237457508	0.544522440465873	-4.03563234730049	5.44554324542043e-05	0.000131394511442926
"YBR001C"	990.830147928392	1.33726026009658	0.142619589477732	9.37641361185781	6.8254919977191e-21	4.67611137814139e-20
"YBR002C"	474.459619716475	-1.02177558614784	0.100913799922891	-10.1252315038041	4.2696714555871e-24	3.31001683058134e-23
"YBR005W"	487.356644340118	1.0028575249829	0.142054697167242	7.05965761767264	1.66913352929717e-12	7.50704677541634e-12
"YBR006W"	1192.13740559408	2.12511489712984	0.0990541652819742	21.454069004371	4.18402816196873e-102	1.36264756370449e-100
"YBR008C"	1599.83487884693	-1.03802837912456	0.120912063035416	-8.58498608877852	9.08474210549292e-18	5.44664325492133e-17
"YBR013C"	105.027300657714	1.4413611833412	0.295151830652189	4.88345669466547	1.04242051981022e-06	3.03637186017529e-06
"YBR014C"	876.460523084783	1.51214837477935	0.11683460738339	12.9426409575484	2.58584979705225e-38	3.01418930480137e-37
"YBR018C"	142.091832333557	1.97953018462925	0.200674266467057	9.86439477008979	5.93915358054815e-23	4.35919075374094e-22
"YBR021W"	758.140706317557	-1.27261161971503	0.108259575332128	-11.7551876202248	6.64130685542125e-32	6.55134090258526e-31
"YBR024W"	320.339869492045	1.06718612057411	0.147786765805256	7.22112101688714	5.15607416964328e-13	2.40926580342164e-12
"YBR025C"	8912.42924126539	-1.22484748405891	0.0970464312778472	-12.6212521978487	1.61236876016654e-36	1.79241199564997e-35
"YBR030W"	442.475560392714	-1.02509070583477	0.115293578191989	-8.89113445787736	6.04881291331074e-19	3.83584701479128e-18
"YBR031W"	80201.0772716201	-1.05465843611192	0.201193456868324	-5.24201160677989	1.58835376305009e-07	4.9947213674564e-07
"YBR034C"	2362.42751018952	-2.20357661658923	0.0959298523213212	-22.9707079002713	9.1508583739278e-117	3.61626299520891e-115
"YBR035C"	2026.0815251853	1.3133411633502	0.199516854126458	6.58260761528335	4.62267977424063e-11	1.90703931361257e-10
"YBR045C"	86.3765945449202	1.48812148118753	0.270529950931686	5.50076424463371	3.78148558032168e-08	1.25681066902896e-07
"YBR046C"	648.825857705024	2.13822267278684	0.137448205963213	15.5565702571565	1.43589915054325e-54	2.3265155986677e-53
"YBR047W"	213.874130626931	2.34493435447134	0.209566504997588	11.1894520285975	4.5926307007099e-29	4.1455208316575e-28
"YBR048W"	19884.0403931789	-1.25281350566176	0.159889218773209	-7.83550958141079	4.6694504022282e-15	2.44645982674543e-14
"YBR050C"	72.9178594500192	1.71329714366727	0.256191079384405	6.6875753355039	2.2689841556168e-11	9.53650214821819e-11
"YBR052C"	3189.66147416422	2.19801780515137	0.136749995300393	16.0732568971799	3.92890046553302e-58	6.6832556212912e-57
"YBR053C"	2496.16769325496	2.38113725210827	0.10809174682532	22.0288534697869	1.52381595983557e-107	5.28120386935526e-106
"YBR054W"	1885.16965912913	2.27562772820558	0.144291136642599	15.7710846359342	4.91975898147353e-56	8.11322085468955e-55
"YBR056W"	2501.17809843909	2.65268185650679	0.126775483948694	20.9242494990618	3.22094322731552e-97	9.89333320200563e-96
"YBR061C"	576.854990837502	-1.210049886698	0.127101185695873	-9.52036662815558	1.72569149946102e-21	1.2117233594807e-20
"YBR071W"	595.074292527712	-1.19687818600331	0.105481318402974	-11.3468261880349	7.69037437575866e-30	7.19210913842595e-29
"YBR072W"	2767.54775249457	4.34776486598338	0.152024412974839	28.5991228705021	6.88962008053025e-180	5.31566996927578e-178
"YBR073W"	639.986449480015	-1.27722918594956	0.113913653800916	-11.2122572082688	3.55022402731842e-29	3.20906581883552e-28
"YBR076W"	64.9944670727401	1.34988704703621	0.243334357605866	5.54745766408643	2.89853313700517e-08	9.71323333036738e-08
"YBR078W"	21091.9955196268	-1.16536937278872	0.100817969205838	-11.5591434936505	6.63674395887603e-31	6.35343243685016e-30
"YBR079C"	3734.59313707278	-1.4179868309701	0.0778041186598455	-18.2250869927522	3.26356516956823e-74	7.42146170665675e-73
"YBR083W"	505.285189321534	-1.77248774058537	0.10744920711087	-16.496052304569	3.9167636623855e-61	6.93566811363946e-60
"YBR084C-A"	8947.94702452718	-1.81105851754647	0.153520260619313	-11.7968697437101	4.05101959244459e-32	4.01447369703875e-31
"YBR084W"	3042.82689926667	-2.09410517504302	0.145134560694634	-14.4287147390693	3.41383471974608e-47	4.77863127833139e-46
"YBR085C-A"	2320.11963948564	3.32179713450712	0.127757461691984	26.0008072367295	4.84912206024673e-149	2.83127568220352e-147
"YBR085W"	277.080289216392	-1.52671554168968	0.147622664102834	-10.3420132062254	4.54879511280601e-25	3.63959766988837e-24
"YBR088C"	1473.88569152716	-1.08223942278454	0.103744452274855	-10.4317811608597	1.77528798799631e-25	1.43640966918902e-24
"YBR092C"	5516.34640909242	-2.48478303180317	0.165010767121024	-15.0583084677181	3.04478120234209e-51	4.65406296518374e-50
"YBR096W"	1895.80878944439	1.17395238652925	0.103212148706523	11.3741686539954	5.6236143405864e-30	5.28212239729572e-29
"YBR099C"	40.4001069715556	1.61272937744236	0.353304871743214	4.56469612061991	5.00218379949115e-06	1.3627888488377e-05
"YBR104W"	576.704199618651	-2.61993047338059	0.125767873497358	-20.8314762786828	2.24435728100922e-96	6.86116959350035e-95
"YBR111W-A"	129.061822989651	1.2379690229677	0.195615039003304	6.3285984005902	2.4739806894744e-10	9.5953733384103e-10
"YBR112C"	1169.61841094952	-1.09254558795063	0.127119240357362	-8.59465164265638	8.35177708919086e-18	5.02113796985584e-17
"YBR116C"	3478.28418264048	8.05704585700831	0.260400449168999	30.940982946536	3.35933107977543e-210	3.11026067543208e-208
"YBR117C"	24098.6259773431	6.16121469516468	0.142767526845125	43.1555748797722	0	0
"YBR121C"	6998.59529288257	-1.43653512252914	0.0858421359360682	-16.7346153129159	7.33293487153194e-63	1.35785002578281e-61
"YBR126C"	30655.6429405285	4.40045264315326	0.147950183639905	29.7427994673091	2.14887040272892e-194	1.80867910130989e-192
"YBR126W-A"	247.828488051155	1.79168713163955	0.351180007189736	5.10190527637736	3.36251047084883e-07	1.03183855878652e-06
"YBR126W-B"	1365.2069404833	1.1608059391031	0.21510632096533	5.39642877017173	6.7980381569165e-08	2.20290426474879e-07
"YBR132C"	996.36688407384	2.3215671058241	0.179565884066967	12.9287760750717	3.0970983595752e-38	3.60364353113229e-37
"YBR139W"	2943.52822209611	2.68684936372051	0.0823962639583386	32.6088736872711	3.0700414253702e-233	3.61762517778623e-231
"YBR142W"	504.041832656775	-2.75727208356989	0.165440936078138	-16.6662021439944	2.30801132965131e-62	4.18997799088799e-61
"YBR147W"	162.116428769617	3.35116658767271	0.250727187082157	13.365788635337	9.58140961110055e-41	1.17831339069341e-39
"YBR148W"	35.6524586427156	1.61590502156748	0.419060563583653	3.856017869467	0.000115249066846163	0.000265527622548874
"YBR149W"	6384.07313443124	2.19176937976128	0.143330705600959	15.2916946202951	8.68601996169709e-53	1.37975723950389e-51
